iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,2,10,100,0.049303,1
2,2,10,100,0.044081,0
3,2,10,100,0.042555,0
4,2,10,100,0.043021,0
5,2,10,100,0.042713,0
6,2,10,100,0.044175,0
7,2,10,100,0.04196,0
8,2,10,100,0.044148,0
9,2,10,100,0.04434,0
10,2,10,100,0.04521,0
11,2,10,100,0.044335,0
12,2,10,100,0.045458,0
13,2,10,100,0.045979,0
14,2,10,100,0.045409,0
15,2,10,100,0.044723,0
16,2,10,100,0.043835,0
17,2,10,100,0.048767,0
18,2,10,100,0.044735,0
19,2,10,100,0.044094,0
20,2,10,100,0.044219,0
21,2,10,100,0.045518,0
22,2,10,100,0.043673,0
23,2,10,100,0.046589,0
24,2,10,100,0.047596,0
25,2,10,100,0.041065,0
26,2,10,100,0.041265,0
27,2,10,100,0.041066,0
28,2,10,100,0.042274,0
29,2,10,100,0.040821,0
30,2,10,100,0.040395,0
31,2,10,100,0.041816,0
32,2,10,100,0.040625,0
33,2,10,100,0.040735,0
34,2,10,100,0.043693,0
35,2,10,100,0.043288,0
36,2,10,100,0.045691,0
37,2,10,100,0.043532,0
38,2,10,100,0.045048,0
39,2,10,100,0.044053,0
40,2,10,100,0.046742,0
41,2,10,100,0.042822,0
42,2,10,100,0.044721,0
43,2,10,100,0.043771,0
44,2,10,100,0.043726,0
45,2,10,100,0.044394,0
46,2,10,100,0.047267,0
47,2,10,100,0.044667,0
48,2,10,100,0.040972,0
49,2,10,100,0.041769,0
50,2,10,100,0.041943,0
51,2,10,100,0.039353,0
52,2,10,100,0.04148,0
53,2,10,100,0.040825,0
54,2,10,100,0.042945,0
55,2,10,100,0.045809,0
56,2,10,100,0.044015,0
57,2,10,100,0.044652,0
58,2,10,100,0.043103,0
59,2,10,100,0.043152,0
60,2,10,100,0.043758,0
61,2,10,100,0.044026,0
62,2,10,100,0.046349,0
63,2,10,100,0.045592,0
64,2,10,100,0.045184,0
65,2,10,100,0.045697,0
66,2,10,100,0.044337,0
67,2,10,100,0.0445,0
68,2,10,100,0.046193,0
69,2,10,100,0.04418,0
70,2,10,100,0.041024,0
71,2,10,100,0.042959,0
72,2,10,100,0.042473,0
73,2,10,100,0.041744,0
74,2,10,100,0.042481,0
75,2,10,100,0.042319,0
76,2,10,100,0.04496,0
77,2,10,100,0.044787,0
78,2,10,100,0.046013,0
79,2,10,100,0.043588,0
80,2,10,100,0.044807,0
81,2,10,100,0.044724,0
82,2,10,100,0.04579,0
83,2,10,100,0.046345,0
84,2,10,100,0.04492,0
85,2,10,100,0.045269,0
86,2,10,100,0.043656,0
87,2,10,100,0.049182,0
88,2,10,100,0.045881,0
89,2,10,100,0.045262,0
90,2,10,100,0.045326,0
91,2,10,100,0.045409,0
92,2,10,100,0.049237,0
93,2,10,100,0.044463,0
94,2,10,100,0.043825,0
95,2,10,100,0.042781,0
96,2,10,100,0.042727,0
97,2,10,100,0.043987,0
98,2,10,100,0.045174,0
99,2,10,100,0.046011,0
100,2,10,100,0.048493,0
