run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,500,0.03526314,0.034533,0.04023725,0.031609,0.067935,301,28358.2233
2,1,10,500,0.035516698,0.0347665,0.0414829,0.0317,0.052457,376,28155.7706
3,1,10,500,0.035411862,0.0346995,0.0404494,0.031483,0.108003,187,28239.1251
4,1,10,500,0.035526564,0.03474,0.04195,0.031847,0.045949,334,28147.9515
5,1,10,500,0.037300022,0.0362755,0.042495,0.030771,0.326124,212,26809.6357
