run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,500,0.044644144,0.045271,0.0507582,0.034146,0.12173,3,22399.3543
2,1,10,500,0.040302548,0.039958,0.044194,0.03446,0.07954,294,24812.327
3,1,10,500,0.039763324,0.039466,0.04332625,0.034023,0.071691,192,25148.803
4,1,10,500,0.037778516,0.0373755,0.0413873,0.033646,0.072669,97,26470.071
5,1,10,500,0.037547754,0.0372725,0.0407788,0.034368,0.052519,24,26632.7515
