run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,500,0.042472152,0.0406855,0.04919965,0.03558,0.163283,404,23544.8395
2,1,10,500,0.036792706,0.036697,0.04024185,0.033338,0.057098,87,27179.3002
3,1,10,500,0.03750618,0.0371005,0.03973235,0.035403,0.057697,487,26662.2727
4,1,10,500,0.03705871,0.036901,0.03986795,0.033562,0.063416,347,26984.2097
5,1,10,500,0.037728972,0.037389,0.04063175,0.035166,0.046408,152,26504.8303
