iteration,batch_size,warmup_iterations,measured_iterations,preprocess_ms,inference_ms,postprocess_ms,end_to_end_ms,stage_sum_ms
83,8,10,100,0.513458,0.087437,0.01367,0.614565,0.614565
84,8,10,100,0.506029,0.088265,0.013244,0.607538,0.607538
85,8,10,100,0.495066,0.084062,0.014063,0.593191,0.593191
86,8,10,100,0.492796,0.083721,0.013351,0.589868,0.589868
87,8,10,100,0.495042,0.083738,0.013957,0.592737,0.592737
88,8,10,100,0.50865,0.088564,0.013676,0.61089,0.61089
89,8,10,100,0.505624,0.084765,0.015081,0.60547,0.60547
90,8,10,100,0.519701,0.086194,0.01369,0.619585,0.619585
91,8,10,100,0.495375,0.081521,0.014187,0.591083,0.591083
92,8,10,100,0.493893,0.080207,0.013652,0.587752,0.587752
93,8,10,100,0.492002,0.080955,0.014036,0.586993,0.586993
94,8,10,100,0.492608,0.083844,0.013588,0.59004,0.59004
95,8,10,100,0.495973,0.084664,0.014003,0.59464,0.59464
96,8,10,100,0.499861,0.080491,0.013815,0.594167,0.594167
97,8,10,100,0.493505,0.082501,0.013515,0.589521,0.589521
98,8,10,100,0.491802,0.084007,0.013635,0.589444,0.589444
99,8,10,100,0.493751,0.083098,0.013732,0.590581,0.590581
100,8,10,100,0.499368,0.081111,0.013437,0.593916,0.593916
