iteration,batch_size,warmup_iterations,measured_iterations,preprocess_ms,inference_ms,postprocess_ms,end_to_end_ms,stage_sum_ms
1,1,10,100,0.091883,0.049522,0.003604,0.145009,0.145009
2,1,10,100,3.093179,0.050649,0.003667,3.147495,3.147495
3,1,10,100,0.08909,0.047007,0.00345,0.139547,0.139547
4,1,10,100,0.088221,0.047916,0.003342,0.139479,0.139479
5,1,10,100,0.089074,0.04933,0.003317,0.141721,0.141721
6,1,10,100,0.088624,0.047439,0.003369,0.139432,0.139432
7,1,10,100,0.086058,0.049862,0.00338,0.1393,0.1393
8,1,10,100,0.086947,0.046701,0.003403,0.137051,0.137051
9,1,10,100,0.091369,0.051543,0.003362,0.146274,0.146274
10,1,10,100,0.085375,0.047267,0.003254,0.135896,0.135896
11,1,10,100,0.08756,0.050404,0.00334,0.141304,0.141304
12,1,10,100,0.087745,0.047564,0.003323,0.138632,0.138632
13,1,10,100,0.085801,0.048664,0.003168,0.137633,0.137633
14,1,10,100,0.085704,0.047645,0.003241,0.13659,0.13659
15,1,10,100,0.085997,0.046431,0.003271,0.135699,0.135699
16,1,10,100,0.090811,0.052255,0.0034,0.146466,0.146466
17,1,10,100,0.085203,0.04763,0.003255,0.136088,0.136088
18,1,10,100,0.085563,0.048012,0.003167,0.136742,0.136742
19,1,10,100,0.085184,0.047376,0.003262,0.135822,0.135822
20,1,10,100,0.085652,0.048644,0.003235,0.137531,0.137531
21,1,10,100,0.083393,0.047293,0.003131,0.133817,0.133817
22,1,10,100,0.085901,0.047915,0.003261,0.137077,0.137077
23,1,10,100,0.085155,3.052419,0.003503,3.141077,3.141077
24,1,10,100,0.086395,0.048421,0.003226,0.138042,0.138042
25,1,10,100,0.084611,0.04867,0.003156,0.136437,0.136437
26,1,10,100,0.084487,0.049875,0.003127,0.137489,0.137489
27,1,10,100,0.085185,0.047899,0.003153,0.136237,0.136237
28,1,10,100,0.084646,0.047373,0.00315,0.135169,0.135169
29,1,10,100,0.085772,0.048365,0.003184,0.137321,0.137321
30,1,10,100,0.085101,0.053039,0.003347,0.141487,0.141487
31,1,10,100,0.08841,0.048227,0.003233,0.13987,0.13987
32,1,10,100,0.085678,0.04754,0.003199,0.136417,0.136417
33,1,10,100,0.084766,0.047606,0.003226,0.135598,0.135598
34,1,10,100,0.083337,0.046466,0.003206,0.133009,0.133009
35,1,10,100,0.084022,0.04923,0.003263,0.136515,0.136515
36,1,10,100,0.0848,0.047897,0.003227,0.135924,0.135924
37,1,10,100,0.085874,0.047884,0.003126,0.136884,0.136884
38,1,10,100,0.091473,0.047828,0.003291,0.142592,0.142592
39,1,10,100,0.083437,0.048651,0.003266,0.135354,0.135354
40,1,10,100,0.083781,0.048514,0.003279,0.135574,0.135574
41,1,10,100,0.084427,0.047174,0.003199,0.1348,0.1348
42,1,10,100,0.084053,0.047665,0.00327,0.134988,0.134988
43,1,10,100,0.084443,0.046436,0.003145,0.134024,0.134024
44,1,10,100,0.084998,0.04927,0.003146,0.137414,0.137414
45,1,10,100,3.089096,0.049168,0.003353,3.141617,3.141617
46,1,10,100,0.085197,0.049471,0.003116,0.137784,0.137784
47,1,10,100,0.084143,0.050245,0.00319,0.137578,0.137578
48,1,10,100,0.084264,0.047394,0.003263,0.134921,0.134921
49,1,10,100,0.084149,0.047919,0.003186,0.135254,0.135254
50,1,10,100,0.086811,0.048625,0.00322,0.138656,0.138656
51,1,10,100,0.084122,0.046471,0.003217,0.13381,0.13381
52,1,10,100,0.084486,0.049679,0.00339,0.137555,0.137555
53,1,10,100,0.085183,0.047568,0.003196,0.135947,0.135947
54,1,10,100,0.087467,0.048556,0.00311,0.139133,0.139133
55,1,10,100,0.08451,0.046781,0.003239,0.13453,0.13453
56,1,10,100,0.084368,0.048267,0.003089,0.135724,0.135724
57,1,10,100,0.082782,0.048349,0.003145,0.134276,0.134276
58,1,10,100,0.084997,0.04591,0.00311,0.134017,0.134017
59,1,10,100,0.083829,0.048442,0.003168,0.135439,0.135439
60,1,10,100,0.093216,0.049725,0.003355,0.146296,0.146296
61,1,10,100,0.083508,0.045344,0.003158,0.13201,0.13201
62,1,10,100,0.084149,0.046673,0.003122,0.133944,0.133944
63,1,10,100,0.082584,0.048748,0.00323,0.134562,0.134562
64,1,10,100,0.08419,0.047532,0.003084,0.134806,0.134806
65,1,10,100,0.083561,0.047769,0.003231,0.134561,0.134561
66,1,10,100,0.084939,0.047779,0.003179,0.135897,0.135897
67,1,10,100,3.086559,0.050648,0.003587,3.140794,3.140794
68,1,10,100,0.084099,0.048607,0.003158,0.135864,0.135864
69,1,10,100,0.083982,0.047262,0.003296,0.13454,0.13454
70,1,10,100,0.08467,0.046176,0.00326,0.134106,0.134106
71,1,10,100,0.084028,0.04755,0.003205,0.134783,0.134783
72,1,10,100,0.084355,0.047109,0.003227,0.134691,0.134691
73,1,10,100,0.082769,0.050332,0.003235,0.136336,0.136336
74,1,10,100,0.083696,0.05096,0.003284,0.13794,0.13794
75,1,10,100,0.083898,0.048858,0.003295,0.136051,0.136051
76,1,10,100,0.083966,0.048913,0.003175,0.136054,0.136054
77,1,10,100,0.082563,0.047705,0.00316,0.133428,0.133428
78,1,10,100,0.083142,0.046483,0.003223,0.132848,0.132848
79,1,10,100,0.083649,0.046938,0.003239,0.133826,0.133826
80,1,10,100,0.083644,0.048428,0.003216,0.135288,0.135288
81,1,10,100,0.084558,0.048063,0.003105,0.135726,0.135726
82,1,10,100,0.088906,0.049862,0.003291,0.142059,0.142059
83,1,10,100,0.084273,0.049461,0.003144,0.136878,0.136878
84,1,10,100,0.082434,0.047938,0.003209,0.133581,0.133581
85,1,10,100,0.083741,0.048078,0.003211,0.13503,0.13503
86,1,10,100,0.084357,0.046653,0.003258,0.134268,0.134268
87,1,10,100,0.083894,0.045269,0.003171,0.132334,0.132334
88,1,10,100,0.083695,0.047089,0.003191,0.133975,0.133975
89,1,10,100,3.086734,0.049511,0.003347,3.139592,3.139592
90,1,10,100,0.083552,0.047831,0.00317,0.134553,0.134553
91,1,10,100,0.083703,0.048166,0.0033,0.135169,0.135169
92,1,10,100,0.084611,0.047075,0.003156,0.134842,0.134842
93,1,10,100,0.0832,0.047872,0.003149,0.134221,0.134221
