run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,1000,2000,0.043616382,0.0425735,0.0500687,0.038563,0.177286,1804,22927.1653
2,1,1000,2000,0.0433339585,0.04296,0.0471584,0.039529,0.091018,618,23076.5902
3,1,1000,2000,0.043674694,0.0422345,0.05156605,0.037505,0.127106,1840,22896.5542
4,1,1000,2000,0.044923388,0.0442255,0.05064745,0.040441,0.108507,827,22260.1198
5,1,1000,2000,0.04455944,0.044402,0.0479255,0.039804,0.055536,1821,22441.9337
