run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,500,0.035685626,0.0359905,0.0412832,0.030166,0.053288,249,28022.4873
2,1,10,500,0.031181244,0.0310515,0.03335135,0.028464,0.039601,108,32070.5614
3,1,10,500,0.032396602,0.031928,0.03622005,0.02862,0.066315,40,30867.4348
4,1,10,500,0.031712222,0.0316085,0.03454235,0.028384,0.038327,41,31533.5835
5,1,10,500,0.032580862,0.032129,0.03501395,0.030505,0.0409,230,30692.865
