iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.027798,0
2,1,10,500,0.027729,0
3,1,10,500,0.028031,0
4,1,10,500,0.02758,0
5,1,10,500,0.027545,0
6,1,10,500,0.027834,0
7,1,10,500,0.02688,0
8,1,10,500,0.027671,0
9,1,10,500,0.027813,0
10,1,10,500,0.026823,0
11,1,10,500,0.028464,0
12,1,10,500,0.026644,0
13,1,10,500,0.026589,0
14,1,10,500,0.026811,0
15,1,10,500,0.027461,0
16,1,10,500,0.026486,0
17,1,10,500,0.027619,0
18,1,10,500,0.027686,0
19,1,10,500,0.027184,0
20,1,10,500,0.027476,0
21,1,10,500,0.02748,0
22,1,10,500,0.026447,0
23,1,10,500,0.026898,0
24,1,10,500,0.026645,0
25,1,10,500,0.027944,0
26,1,10,500,0.02763,0
27,1,10,500,0.02674,0
28,1,10,500,0.026573,0
29,1,10,500,0.027054,0
30,1,10,500,0.027282,0
31,1,10,500,0.027308,0
32,1,10,500,0.027627,0
33,1,10,500,0.03091,0
34,1,10,500,0.028005,0
35,1,10,500,0.027242,0
36,1,10,500,0.027621,0
37,1,10,500,0.026429,0
38,1,10,500,0.027035,0
39,1,10,500,0.026744,0
40,1,10,500,0.025305,0
41,1,10,500,0.0261,0
42,1,10,500,0.024816,0
43,1,10,500,0.026432,0
44,1,10,500,0.025471,0
45,1,10,500,0.026724,0
46,1,10,500,0.02594,0
47,1,10,500,0.025435,0
48,1,10,500,0.025574,0
49,1,10,500,0.02598,0
50,1,10,500,0.026229,0
51,1,10,500,0.025749,0
52,1,10,500,0.024907,0
53,1,10,500,0.025814,0
54,1,10,500,0.025012,0
55,1,10,500,0.025314,0
56,1,10,500,0.024762,0
57,1,10,500,0.024959,0
58,1,10,500,0.025542,0
59,1,10,500,0.0257,0
60,1,10,500,0.025163,0
61,1,10,500,0.02554,0
62,1,10,500,0.026237,0
63,1,10,500,0.025749,0
64,1,10,500,0.025464,0
65,1,10,500,0.025622,0
66,1,10,500,0.026287,0
67,1,10,500,0.025423,0
68,1,10,500,0.025197,0
69,1,10,500,0.025695,0
70,1,10,500,0.025469,0
71,1,10,500,0.030139,0
72,1,10,500,0.025118,0
73,1,10,500,0.025975,0
74,1,10,500,0.025103,0
75,1,10,500,0.026023,0
76,1,10,500,0.025204,0
77,1,10,500,0.025764,0
78,1,10,500,0.026075,0
