run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,4,10,100,0.13124406,0.069522,0.08102075,0.064154,3.086625,81,30477.5698
2,4,10,100,0.13195892,0.0739775,0.0818561,0.05482,3.086591,4,30312.4639
3,4,10,100,0.06229759,0.0586035,0.0832096,0.054108,0.092297,83,64207.9413
4,4,10,100,0.05603307,0.0553595,0.0598084,0.052847,0.06619,58,71386.4152
5,4,10,100,0.0554799,0.055399,0.0578708,0.052211,0.060914,88,72098.1833
