iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,4,10,100,0.055677,0
2,4,10,100,0.053981,0
3,4,10,100,0.055241,0
4,4,10,100,0.056315,0
5,4,10,100,0.053639,0
6,4,10,100,0.055114,0
7,4,10,100,0.054254,0
8,4,10,100,0.055329,0
9,4,10,100,0.054519,0
10,4,10,100,0.054297,0
11,4,10,100,0.054068,0
12,4,10,100,0.056315,0
13,4,10,100,0.053929,0
14,4,10,100,0.055725,0
15,4,10,100,0.054778,0
16,4,10,100,0.057857,0
17,4,10,100,0.055538,0
18,4,10,100,0.057076,0
19,4,10,100,0.053779,0
20,4,10,100,0.05595,0
21,4,10,100,0.05501,0
22,4,10,100,0.05944,0
23,4,10,100,0.054756,0
24,4,10,100,0.055159,0
25,4,10,100,0.052211,0
26,4,10,100,0.055487,0
27,4,10,100,0.054303,0
28,4,10,100,0.055615,0
29,4,10,100,0.055403,0
30,4,10,100,0.054685,0
31,4,10,100,0.055779,0
32,4,10,100,0.054599,0
33,4,10,100,0.055402,0
34,4,10,100,0.058799,0
35,4,10,100,0.055747,0
36,4,10,100,0.055976,0
37,4,10,100,0.055887,0
38,4,10,100,0.055594,0
39,4,10,100,0.053125,0
40,4,10,100,0.053563,0
41,4,10,100,0.05607,0
42,4,10,100,0.05545,0
43,4,10,100,0.054869,0
44,4,10,100,0.056117,0
45,4,10,100,0.054604,0
46,4,10,100,0.056608,0
47,4,10,100,0.054994,0
48,4,10,100,0.054472,0
49,4,10,100,0.053593,0
50,4,10,100,0.055783,0
51,4,10,100,0.054489,0
52,4,10,100,0.056571,0
53,4,10,100,0.056863,0
54,4,10,100,0.055891,0
55,4,10,100,0.055197,0
56,4,10,100,0.056565,0
57,4,10,100,0.056839,0
58,4,10,100,0.055483,0
59,4,10,100,0.054758,0
60,4,10,100,0.054763,0
61,4,10,100,0.053692,0
62,4,10,100,0.057337,0
63,4,10,100,0.05521,0
64,4,10,100,0.054869,0
65,4,10,100,0.054064,0
66,4,10,100,0.054743,0
67,4,10,100,0.054812,0
68,4,10,100,0.055417,0
69,4,10,100,0.05449,0
70,4,10,100,0.057103,0
71,4,10,100,0.055953,0
72,4,10,100,0.057263,0
73,4,10,100,0.05537,0
74,4,10,100,0.058133,0
75,4,10,100,0.055508,0
76,4,10,100,0.055152,0
77,4,10,100,0.057534,0
78,4,10,100,0.054469,0
79,4,10,100,0.053301,0
80,4,10,100,0.055939,0
81,4,10,100,0.05647,0
82,4,10,100,0.054384,0
83,4,10,100,0.055426,0
84,4,10,100,0.055075,0
85,4,10,100,0.055689,0
86,4,10,100,0.055165,0
87,4,10,100,0.055809,0
88,4,10,100,0.060914,1
89,4,10,100,0.05845,0
90,4,10,100,0.055621,0
91,4,10,100,0.0549,0
92,4,10,100,0.056006,0
93,4,10,100,0.055396,0
94,4,10,100,0.05637,0
95,4,10,100,0.055749,0
96,4,10,100,0.057327,0
97,4,10,100,0.054387,0
98,4,10,100,0.055212,0
99,4,10,100,0.054416,0
100,4,10,100,0.054965,0
