iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.037434,0
2,1,10,500,0.036789,0
3,1,10,500,0.037303,0
4,1,10,500,0.037116,0
5,1,10,500,0.036369,0
6,1,10,500,0.03684,0
7,1,10,500,0.03654,0
8,1,10,500,0.03769,0
9,1,10,500,0.035592,0
10,1,10,500,0.035997,0
11,1,10,500,0.035139,0
12,1,10,500,0.036371,0
13,1,10,500,0.035329,0
14,1,10,500,0.035743,0
15,1,10,500,0.035898,0
16,1,10,500,0.035709,0
17,1,10,500,0.037287,0
18,1,10,500,0.036545,0
19,1,10,500,0.036021,0
20,1,10,500,0.036929,0
21,1,10,500,0.038032,0
22,1,10,500,0.038995,0
23,1,10,500,0.035662,0
24,1,10,500,0.0366,0
25,1,10,500,0.036576,0
26,1,10,500,0.03581,0
27,1,10,500,0.03519,0
28,1,10,500,0.036087,0
29,1,10,500,0.036301,0
30,1,10,500,0.035791,0
31,1,10,500,0.036457,0
32,1,10,500,0.036132,0
33,1,10,500,0.036234,0
34,1,10,500,0.036769,0
35,1,10,500,0.035783,0
36,1,10,500,0.035412,0
37,1,10,500,0.035735,0
38,1,10,500,0.034983,0
39,1,10,500,0.035632,0
40,1,10,500,0.035935,0
41,1,10,500,0.035455,0
42,1,10,500,0.033526,0
43,1,10,500,0.031707,0
44,1,10,500,0.032034,0
45,1,10,500,0.033369,0
46,1,10,500,0.032672,0
47,1,10,500,0.033079,0
48,1,10,500,0.032774,0
49,1,10,500,0.032804,0
50,1,10,500,0.037272,0
51,1,10,500,0.037347,0
52,1,10,500,0.035426,0
53,1,10,500,0.03393,0
54,1,10,500,0.034832,0
55,1,10,500,0.033306,0
56,1,10,500,0.033816,0
57,1,10,500,0.033128,0
58,1,10,500,0.031843,0
59,1,10,500,0.033007,0
60,1,10,500,0.03206,0
61,1,10,500,0.032336,0
62,1,10,500,0.032155,0
63,1,10,500,0.029679,0
64,1,10,500,0.030878,0
65,1,10,500,0.030765,0
66,1,10,500,0.032132,0
67,1,10,500,0.030305,0
68,1,10,500,0.029894,0
69,1,10,500,0.031264,0
70,1,10,500,0.031412,0
71,1,10,500,0.03122,0
72,1,10,500,0.031736,0
73,1,10,500,0.030374,0
74,1,10,500,0.029534,0
75,1,10,500,0.030633,0
76,1,10,500,0.030999,0
77,1,10,500,0.031761,0
78,1,10,500,0.029872,0
79,1,10,500,0.031283,0
80,1,10,500,0.030779,0
81,1,10,500,0.029888,0
82,1,10,500,0.034296,0
83,1,10,500,0.030753,0
84,1,10,500,0.031229,0
85,1,10,500,0.031561,0
86,1,10,500,0.030055,0
87,1,10,500,0.031302,0
88,1,10,500,0.030775,0
89,1,10,500,0.032153,0
90,1,10,500,0.030248,0
91,1,10,500,0.031733,0
92,1,10,500,0.03115,0
93,1,10,500,0.030576,0
94,1,10,500,0.03141,0
95,1,10,500,0.031637,0
96,1,10,500,0.03131,0
97,1,10,500,0.030412,0
98,1,10,500,0.031271,0
99,1,10,500,0.031811,0
100,1,10,500,0.031854,0
101,1,10,500,0.031439,0
102,1,10,500,0.030298,0
103,1,10,500,0.031931,0
104,1,10,500,0.030926,0
105,1,10,500,0.030171,0
106,1,10,500,0.030852,0
107,1,10,500,0.030343,0
108,1,10,500,0.031218,0
109,1,10,500,0.030704,0
110,1,10,500,0.029445,0
111,1,10,500,0.030838,0
112,1,10,500,0.030469,0
113,1,10,500,0.029996,0
114,1,10,500,0.032804,0
115,1,10,500,0.030116,0
116,1,10,500,0.031609,0
117,1,10,500,0.030113,0
118,1,10,500,0.030704,0
119,1,10,500,0.029834,0
120,1,10,500,0.030695,0
121,1,10,500,0.031398,0
122,1,10,500,0.030826,0
123,1,10,500,0.031271,0
124,1,10,500,0.030175,0
125,1,10,500,0.030313,0
126,1,10,500,0.029287,0
127,1,10,500,0.031712,0
128,1,10,500,0.03084,0
129,1,10,500,0.030411,0
130,1,10,500,0.030979,0
131,1,10,500,0.031544,0
132,1,10,500,0.031894,0
133,1,10,500,0.031633,0
134,1,10,500,0.031969,0
135,1,10,500,0.031884,0
136,1,10,500,0.032555,0
137,1,10,500,0.032767,0
138,1,10,500,0.030821,0
139,1,10,500,0.031022,0
140,1,10,500,0.030397,0
141,1,10,500,0.030732,0
142,1,10,500,0.029784,0
143,1,10,500,0.030198,0
144,1,10,500,0.03079,0
145,1,10,500,0.031946,0
146,1,10,500,0.031187,0
147,1,10,500,0.030525,0
148,1,10,500,0.029698,0
149,1,10,500,0.03076,0
150,1,10,500,0.029877,0
151,1,10,500,0.031783,0
152,1,10,500,0.031881,0
153,1,10,500,0.031692,0
154,1,10,500,0.030688,0
155,1,10,500,0.031199,0
156,1,10,500,0.031303,0
157,1,10,500,0.031164,0
158,1,10,500,0.031485,0
159,1,10,500,0.032227,0
160,1,10,500,0.030712,0
161,1,10,500,0.029428,0
162,1,10,500,0.030407,0
163,1,10,500,0.030977,0
164,1,10,500,0.031169,0
165,1,10,500,0.030388,0
166,1,10,500,0.029831,0
167,1,10,500,0.030692,0
168,1,10,500,0.029366,0
169,1,10,500,0.030861,0
170,1,10,500,0.029163,0
171,1,10,500,0.030887,0
172,1,10,500,0.031229,0
173,1,10,500,0.030671,0
174,1,10,500,0.032037,0
175,1,10,500,0.031782,0
176,1,10,500,0.031023,0
