run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,500,0.027474354,0.027709,0.0297299,0.024044,0.031766,333,36397.5801
2,1,10,500,0.029675,0.0290915,0.03294705,0.02613,0.101823,487,33698.3993
3,1,10,500,0.02781647,0.0276645,0.0295971,0.025734,0.034913,213,35949.9246
4,1,10,500,0.026197148,0.025434,0.028615,0.023301,0.153622,162,38172.0942
5,1,10,500,0.02478576,0.024462,0.0268264,0.022943,0.049111,264,40345.7469
