iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,8,10,100,0.076799,0
2,8,10,100,0.07396,0
3,8,10,100,0.077473,0
4,8,10,100,0.072589,0
5,8,10,100,0.072429,0
6,8,10,100,0.075982,0
7,8,10,100,0.075816,0
8,8,10,100,0.071934,0
9,8,10,100,0.077309,0
10,8,10,100,0.075071,0
11,8,10,100,0.072707,0
12,8,10,100,0.072409,0
13,8,10,100,0.079125,0
14,8,10,100,0.078505,0
15,8,10,100,0.080415,0
16,8,10,100,0.080698,0
17,8,10,100,0.078179,0
18,8,10,100,0.075686,0
19,8,10,100,0.077233,0
20,8,10,100,0.078336,0
21,8,10,100,0.079286,0
22,8,10,100,0.081067,0
23,8,10,100,0.081672,0
24,8,10,100,0.079808,0
25,8,10,100,0.079026,0
26,8,10,100,0.078449,0
27,8,10,100,0.076758,0
28,8,10,100,0.080456,0
29,8,10,100,0.077285,0
30,8,10,100,0.077154,0
31,8,10,100,0.079529,0
32,8,10,100,0.079245,0
33,8,10,100,0.078223,0
34,8,10,100,0.075843,0
35,8,10,100,0.079105,0
36,8,10,100,0.078236,0
37,8,10,100,0.074348,0
38,8,10,100,0.075449,0
39,8,10,100,0.081592,0
40,8,10,100,0.077257,0
41,8,10,100,0.080833,0
42,8,10,100,0.079013,0
43,8,10,100,0.075285,0
44,8,10,100,0.078254,0
45,8,10,100,0.079174,0
46,8,10,100,0.080903,0
47,8,10,100,0.081106,0
48,8,10,100,0.080749,0
49,8,10,100,0.078069,0
50,8,10,100,0.077454,0
51,8,10,100,0.077003,0
52,8,10,100,0.078726,0
53,8,10,100,0.075806,0
54,8,10,100,0.085094,1
55,8,10,100,0.080017,0
56,8,10,100,0.077535,0
57,8,10,100,0.077377,0
58,8,10,100,0.078169,0
59,8,10,100,0.076322,0
60,8,10,100,0.07938,0
61,8,10,100,0.079101,0
62,8,10,100,0.079134,0
63,8,10,100,0.078452,0
64,8,10,100,0.082149,0
65,8,10,100,0.077853,0
66,8,10,100,0.080233,0
67,8,10,100,0.078773,0
68,8,10,100,0.083272,0
69,8,10,100,0.076635,0
70,8,10,100,0.07856,0
71,8,10,100,0.076992,0
72,8,10,100,0.077382,0
73,8,10,100,0.078764,0
74,8,10,100,0.078006,0
75,8,10,100,0.08174,0
76,8,10,100,0.081517,0
77,8,10,100,0.079335,0
78,8,10,100,0.080881,0
79,8,10,100,0.083047,0
80,8,10,100,0.082665,0
81,8,10,100,0.081772,0
82,8,10,100,0.082113,0
83,8,10,100,0.080197,0
84,8,10,100,0.082635,0
85,8,10,100,0.080268,0
86,8,10,100,0.080142,0
87,8,10,100,0.07987,0
88,8,10,100,0.084682,0
89,8,10,100,0.077773,0
90,8,10,100,0.080084,0
91,8,10,100,0.082061,0
92,8,10,100,0.081662,0
93,8,10,100,0.079623,0
94,8,10,100,0.080774,0
95,8,10,100,0.07884,0
96,8,10,100,0.076798,0
97,8,10,100,0.077926,0
98,8,10,100,0.080016,0
99,8,10,100,0.078696,0
100,8,10,100,0.078192,0
