epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,1.43580001484553,0.4932666666666667,1.1825476268768311,0.5806,0.001,9.317922103000456
2,1.0933912934833103,0.6179111111111111,1.090729038619995,0.6278,0.001,10.21241372700024
3,0.9645661114586724,0.6671111111111111,0.9803703798294068,0.6636,0.001,10.84595606700168
4,0.8968628117481867,0.6904888888888889,1.0010532585144043,0.6578,0.001,6.606776311000431
5,0.8440940769619412,0.7087333333333333,0.9565840238571167,0.67,0.001,7.069087879001017
6,0.8067192398601108,0.7209333333333333,0.9348047883987427,0.6796,0.001,6.9027116100005514
7,0.7753065717485216,0.7313555555555555,0.912095046710968,0.6834,0.001,12.192365337999945
8,0.7499626281950209,0.7406,0.9128734927177429,0.6844,0.001,13.05104207399927
9,0.7252508826997545,0.7473555555555556,0.9450742743492127,0.6796,0.001,7.022987280000962
10,0.7032429171085358,0.7560666666666667,0.9291764746665955,0.6822,0.001,7.370307825000054
11,0.6868611710760328,0.7609555555555556,0.9519248971939087,0.6758,0.001,8.575725552000222
12,0.6710869838767581,0.7669777777777778,0.9518688285827637,0.6758,0.001,7.319541811997624
13,0.6545513932334052,0.7746666666666666,0.9692271272659302,0.6718,0.001,7.823078466000879
