class_index,class_name,correct,total,accuracy
0,airplane,374,488,0.7663934426229508
1,automobile,416,512,0.8125
2,bird,213,532,0.40037593984962405
3,cat,187,471,0.3970276008492569
4,deer,224,471,0.47558386411889597
5,dog,357,514,0.6945525291828794
6,frog,332,507,0.6548323471400395
7,horse,335,500,0.67
8,ship,372,504,0.7380952380952381
9,truck,369,501,0.7365269461077845
