iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.036507,0
2,1,10,500,0.036082,0
3,1,10,500,0.036129,0
4,1,10,500,0.036244,0
5,1,10,500,0.036155,0
6,1,10,500,0.036236,0
7,1,10,500,0.03628,0
8,1,10,500,0.036213,0
9,1,10,500,0.036225,0
10,1,10,500,0.036221,0
11,1,10,500,0.036035,0
12,1,10,500,0.036103,0
13,1,10,500,0.036187,0
14,1,10,500,0.036057,0
15,1,10,500,0.036064,0
16,1,10,500,0.036168,0
17,1,10,500,0.036148,0
18,1,10,500,0.036155,0
19,1,10,500,0.036069,0
20,1,10,500,0.03604,0
21,1,10,500,0.038846,0
22,1,10,500,0.036321,0
23,1,10,500,0.036579,0
24,1,10,500,0.036359,0
25,1,10,500,0.03633,0
26,1,10,500,0.036163,0
27,1,10,500,0.036196,0
28,1,10,500,0.036081,0
29,1,10,500,0.03608,0
30,1,10,500,0.036143,0
31,1,10,500,0.036177,0
32,1,10,500,0.036177,0
33,1,10,500,0.035998,0
34,1,10,500,0.036296,0
35,1,10,500,0.036178,0
36,1,10,500,0.036196,0
37,1,10,500,0.036238,0
38,1,10,500,0.036267,0
39,1,10,500,0.036033,0
40,1,10,500,0.036138,0
41,1,10,500,0.036144,0
42,1,10,500,0.035948,0
43,1,10,500,0.036185,0
44,1,10,500,0.03615,0
45,1,10,500,0.036033,0
46,1,10,500,0.036331,0
47,1,10,500,0.036201,0
48,1,10,500,0.03619,0
49,1,10,500,0.04104,0
50,1,10,500,0.036422,0
51,1,10,500,0.036397,0
52,1,10,500,0.036134,0
53,1,10,500,0.036151,0
54,1,10,500,0.036108,0
55,1,10,500,0.036234,0
56,1,10,500,0.036298,0
57,1,10,500,0.036166,0
58,1,10,500,0.036168,0
59,1,10,500,0.036117,0
60,1,10,500,0.036177,0
61,1,10,500,0.036222,0
62,1,10,500,0.036167,0
63,1,10,500,0.036127,0
64,1,10,500,0.036097,0
65,1,10,500,0.036113,0
66,1,10,500,0.03601,0
67,1,10,500,0.03617,0
68,1,10,500,0.037117,0
69,1,10,500,0.03541,0
70,1,10,500,0.035503,0
71,1,10,500,0.03533,0
72,1,10,500,0.035326,0
73,1,10,500,0.035396,0
74,1,10,500,0.035324,0
75,1,10,500,0.035386,0
76,1,10,500,0.044856,0
77,1,10,500,0.035482,0
78,1,10,500,0.035413,0
79,1,10,500,0.035458,0
80,1,10,500,0.035369,0
81,1,10,500,0.035278,0
82,1,10,500,0.035381,0
83,1,10,500,0.035441,0
84,1,10,500,0.035319,0
85,1,10,500,0.035182,0
86,1,10,500,0.035205,0
87,1,10,500,0.03528,0
88,1,10,500,0.035358,0
89,1,10,500,0.035206,0
90,1,10,500,0.035194,0
91,1,10,500,0.035343,0
92,1,10,500,0.035334,0
93,1,10,500,0.035416,0
94,1,10,500,0.035252,0
95,1,10,500,0.035324,0
96,1,10,500,0.035317,0
97,1,10,500,0.035215,0
98,1,10,500,0.035311,0
99,1,10,500,0.03528,0
100,1,10,500,0.035206,0
101,1,10,500,0.035483,0
102,1,10,500,0.035278,0
103,1,10,500,0.035174,0
104,1,10,500,0.037765,0
105,1,10,500,0.03548,0
106,1,10,500,0.035408,0
107,1,10,500,0.035329,0
108,1,10,500,0.035461,0
109,1,10,500,0.035302,0
110,1,10,500,0.035293,0
111,1,10,500,0.035323,0
112,1,10,500,0.035526,0
113,1,10,500,0.035393,0
114,1,10,500,0.035332,0
115,1,10,500,0.035481,0
116,1,10,500,0.03543,0
117,1,10,500,0.035422,0
118,1,10,500,0.035564,0
119,1,10,500,0.035445,0
120,1,10,500,0.035278,0
121,1,10,500,0.035392,0
122,1,10,500,0.035437,0
123,1,10,500,0.03544,0
124,1,10,500,0.03548,0
125,1,10,500,0.035352,0
126,1,10,500,0.035427,0
127,1,10,500,0.035483,0
128,1,10,500,0.03532,0
129,1,10,500,0.035475,0
130,1,10,500,0.035302,0
131,1,10,500,0.035473,0
132,1,10,500,0.039101,0
133,1,10,500,0.035386,0
134,1,10,500,0.035421,0
135,1,10,500,0.035573,0
136,1,10,500,0.035443,0
137,1,10,500,0.035439,0
138,1,10,500,0.035251,0
139,1,10,500,0.035411,0
140,1,10,500,0.035226,0
141,1,10,500,0.035299,0
142,1,10,500,0.035261,0
143,1,10,500,0.035397,0
144,1,10,500,0.035174,0
145,1,10,500,0.035191,0
146,1,10,500,0.035443,0
147,1,10,500,0.035483,0
148,1,10,500,0.035383,0
149,1,10,500,0.035245,0
150,1,10,500,0.035192,0
151,1,10,500,0.035399,0
152,1,10,500,0.035488,0
153,1,10,500,0.035204,0
154,1,10,500,0.035635,0
155,1,10,500,0.035398,0
156,1,10,500,0.035341,0
157,1,10,500,0.035402,0
158,1,10,500,0.035354,0
159,1,10,500,0.035316,0
160,1,10,500,0.036975,0
161,1,10,500,0.035475,0
162,1,10,500,0.035534,0
163,1,10,500,0.035339,0
164,1,10,500,0.035357,0
165,1,10,500,0.035296,0
166,1,10,500,0.035449,0
167,1,10,500,0.035369,0
168,1,10,500,0.035343,0
169,1,10,500,0.035383,0
170,1,10,500,0.03534,0
171,1,10,500,0.035357,0
172,1,10,500,0.035479,0
173,1,10,500,0.035318,0
174,1,10,500,0.035322,0
175,1,10,500,0.035328,0
176,1,10,500,0.035257,0
177,1,10,500,0.035474,0
178,1,10,500,0.035234,0
179,1,10,500,0.035291,0
180,1,10,500,0.035203,0
181,1,10,500,0.035515,0
182,1,10,500,0.035325,0
183,1,10,500,0.035305,0
184,1,10,500,0.03543,0
185,1,10,500,0.035581,0
186,1,10,500,0.035551,0
187,1,10,500,0.03538,0
188,1,10,500,0.035318,0
189,1,10,500,0.05655,1
190,1,10,500,0.035521,0
191,1,10,500,0.035465,0
192,1,10,500,0.035469,0
193,1,10,500,0.035389,0
194,1,10,500,0.035321,0
195,1,10,500,0.035445,0
196,1,10,500,0.035461,0
197,1,10,500,0.035281,0
198,1,10,500,0.035335,0
199,1,10,500,0.035302,0
200,1,10,500,0.035274,0
201,1,10,500,0.035293,0
202,1,10,500,0.035302,0
203,1,10,500,0.03515,0
204,1,10,500,0.035446,0
205,1,10,500,0.035276,0
206,1,10,500,0.035164,0
207,1,10,500,0.035185,0
208,1,10,500,0.035188,0
209,1,10,500,0.035425,0
210,1,10,500,0.035319,0
211,1,10,500,0.035264,0
212,1,10,500,0.035432,0
213,1,10,500,0.03526,0
214,1,10,500,0.03533,0
215,1,10,500,0.035371,0
216,1,10,500,0.038681,0
217,1,10,500,0.035507,0
218,1,10,500,0.035333,0
219,1,10,500,0.035336,0
220,1,10,500,0.035283,0
221,1,10,500,0.035424,0
222,1,10,500,0.035768,0
223,1,10,500,0.035543,0
224,1,10,500,0.03532,0
225,1,10,500,0.0354,0
226,1,10,500,0.035246,0
227,1,10,500,0.035381,0
228,1,10,500,0.035391,0
229,1,10,500,0.035332,0
230,1,10,500,0.036014,0
231,1,10,500,0.034574,0
232,1,10,500,0.034421,0
233,1,10,500,0.034457,0
234,1,10,500,0.034514,0
235,1,10,500,0.034462,0
236,1,10,500,0.034506,0
237,1,10,500,0.034473,0
238,1,10,500,0.034492,0
239,1,10,500,0.034464,0
240,1,10,500,0.03453,0
241,1,10,500,0.034486,0
242,1,10,500,0.03439,0
243,1,10,500,0.034384,0
244,1,10,500,0.034448,0
245,1,10,500,0.035874,0
246,1,10,500,0.034608,0
247,1,10,500,0.034673,0
248,1,10,500,0.034551,0
249,1,10,500,0.034804,0
250,1,10,500,0.034501,0
251,1,10,500,0.034619,0
252,1,10,500,0.03452,0
253,1,10,500,0.034543,0
254,1,10,500,0.034575,0
255,1,10,500,0.034573,0
256,1,10,500,0.034538,0
257,1,10,500,0.034573,0
258,1,10,500,0.034537,0
259,1,10,500,0.034429,0
260,1,10,500,0.034521,0
261,1,10,500,0.034441,0
262,1,10,500,0.050806,0
263,1,10,500,0.034491,0
264,1,10,500,0.039438,0
265,1,10,500,0.037283,0
266,1,10,500,0.037415,0
267,1,10,500,0.037303,0
268,1,10,500,0.036582,0
269,1,10,500,0.034715,0
270,1,10,500,0.034535,0
271,1,10,500,0.034669,0
272,1,10,500,0.034928,0
273,1,10,500,0.0365,0
274,1,10,500,0.034814,0
275,1,10,500,0.034877,0
276,1,10,500,0.034694,0
277,1,10,500,0.034675,0
278,1,10,500,0.034722,0
279,1,10,500,0.034636,0
280,1,10,500,0.034599,0
281,1,10,500,0.034646,0
282,1,10,500,0.034537,0
283,1,10,500,0.034419,0
284,1,10,500,0.034645,0
285,1,10,500,0.034479,0
286,1,10,500,0.034591,0
287,1,10,500,0.034607,0
288,1,10,500,0.034553,0
289,1,10,500,0.034534,0
290,1,10,500,0.034442,0
291,1,10,500,0.035125,0
292,1,10,500,0.035315,0
293,1,10,500,0.035306,0
294,1,10,500,0.035386,0
295,1,10,500,0.035369,0
296,1,10,500,0.035345,0
297,1,10,500,0.03524,0
298,1,10,500,0.03551,0
299,1,10,500,0.035369,0
300,1,10,500,0.038909,0
301,1,10,500,0.039369,0
302,1,10,500,0.037249,0
303,1,10,500,0.037126,0
304,1,10,500,0.037086,0
305,1,10,500,0.037835,0
306,1,10,500,0.035467,0
307,1,10,500,0.035364,0
308,1,10,500,0.035372,0
309,1,10,500,0.035606,0
310,1,10,500,0.035368,0
311,1,10,500,0.035414,0
312,1,10,500,0.035704,0
313,1,10,500,0.035492,0
314,1,10,500,0.035684,0
315,1,10,500,0.035684,0
316,1,10,500,0.035683,0
317,1,10,500,0.03545,0
318,1,10,500,0.035488,0
319,1,10,500,0.035704,0
320,1,10,500,0.034757,0
321,1,10,500,0.034839,0
322,1,10,500,0.034577,0
323,1,10,500,0.03457,0
324,1,10,500,0.034743,0
325,1,10,500,0.034548,0
326,1,10,500,0.03456,0
327,1,10,500,0.034528,0
328,1,10,500,0.034577,0
329,1,10,500,0.038854,0
330,1,10,500,0.034731,0
331,1,10,500,0.034615,0
332,1,10,500,0.034543,0
333,1,10,500,0.034616,0
334,1,10,500,0.034587,0
335,1,10,500,0.0346,0
336,1,10,500,0.034702,0
337,1,10,500,0.034609,0
338,1,10,500,0.034587,0
339,1,10,500,0.034634,0
340,1,10,500,0.034623,0
341,1,10,500,0.034607,0
342,1,10,500,0.034482,0
343,1,10,500,0.034488,0
344,1,10,500,0.034645,0
345,1,10,500,0.034501,0
346,1,10,500,0.034456,0
347,1,10,500,0.034529,0
348,1,10,500,0.034578,0
349,1,10,500,0.034549,0
350,1,10,500,0.03472,0
351,1,10,500,0.03461,0
352,1,10,500,0.034546,0
353,1,10,500,0.034558,0
354,1,10,500,0.034579,0
355,1,10,500,0.034517,0
356,1,10,500,0.034685,0
357,1,10,500,0.034604,0
358,1,10,500,0.036202,0
359,1,10,500,0.034549,0
360,1,10,500,0.034713,0
361,1,10,500,0.034615,0
362,1,10,500,0.034471,0
363,1,10,500,0.034652,0
364,1,10,500,0.034527,0
365,1,10,500,0.03467,0
366,1,10,500,0.03442,0
367,1,10,500,0.034438,0
368,1,10,500,0.034518,0
369,1,10,500,0.03451,0
370,1,10,500,0.034535,0
371,1,10,500,0.034613,0
372,1,10,500,0.034471,0
373,1,10,500,0.034696,0
374,1,10,500,0.038536,0
375,1,10,500,0.037757,0
376,1,10,500,0.037155,0
377,1,10,500,0.03717,0
378,1,10,500,0.036516,0
379,1,10,500,0.034551,0
380,1,10,500,0.034447,0
381,1,10,500,0.034439,0
382,1,10,500,0.034634,0
383,1,10,500,0.034533,0
384,1,10,500,0.034565,0
385,1,10,500,0.034513,0
386,1,10,500,0.036316,0
387,1,10,500,0.034558,0
388,1,10,500,0.034672,0
389,1,10,500,0.034712,0
390,1,10,500,0.0345,0
391,1,10,500,0.034511,0
392,1,10,500,0.034408,0
393,1,10,500,0.034483,0
394,1,10,500,0.034435,0
395,1,10,500,0.034505,0
396,1,10,500,0.034516,0
397,1,10,500,0.034464,0
398,1,10,500,0.034426,0
