iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,100,0.037741,0
2,1,10,100,0.037233,0
3,1,10,100,0.037164,0
4,1,10,100,0.036791,0
5,1,10,100,0.039639,0
6,1,10,100,0.038882,0
7,1,10,100,0.039197,0
8,1,10,100,0.037295,0
9,1,10,100,0.037993,0
10,1,10,100,0.035527,0
11,1,10,100,0.037808,0
12,1,10,100,0.037741,0
13,1,10,100,0.039322,0
14,1,10,100,0.037358,0
15,1,10,100,0.037602,0
16,1,10,100,0.037256,0
17,1,10,100,0.036733,0
18,1,10,100,0.036976,0
19,1,10,100,0.037609,0
20,1,10,100,0.035955,0
21,1,10,100,0.037642,0
22,1,10,100,0.035498,0
23,1,10,100,0.034914,0
24,1,10,100,0.034683,0
25,1,10,100,0.037913,0
26,1,10,100,0.038155,0
27,1,10,100,0.037174,0
28,1,10,100,0.038298,0
29,1,10,100,0.038844,0
30,1,10,100,0.036605,0
31,1,10,100,0.037848,0
32,1,10,100,0.035757,0
33,1,10,100,0.035832,0
34,1,10,100,0.038188,0
35,1,10,100,0.038799,0
36,1,10,100,0.037671,0
37,1,10,100,0.036072,0
38,1,10,100,0.03794,0
39,1,10,100,0.038136,0
40,1,10,100,0.036165,0
41,1,10,100,0.03881,0
42,1,10,100,0.03613,0
43,1,10,100,0.036375,0
44,1,10,100,0.038649,0
45,1,10,100,0.037215,0
46,1,10,100,0.037281,0
47,1,10,100,0.038492,0
48,1,10,100,0.036479,0
49,1,10,100,0.036708,0
50,1,10,100,0.037047,0
51,1,10,100,0.037511,0
52,1,10,100,0.037857,0
53,1,10,100,0.038428,0
54,1,10,100,0.035122,0
55,1,10,100,0.038427,0
56,1,10,100,0.036488,0
57,1,10,100,0.038442,0
58,1,10,100,0.03571,0
59,1,10,100,0.039915,0
60,1,10,100,0.038722,0
61,1,10,100,0.036371,0
62,1,10,100,0.038712,0
63,1,10,100,0.037694,0
64,1,10,100,0.037737,0
65,1,10,100,0.037378,0
66,1,10,100,0.037097,0
67,1,10,100,0.037582,0
68,1,10,100,0.035275,0
69,1,10,100,0.03791,0
70,1,10,100,0.037247,0
71,1,10,100,0.038234,0
72,1,10,100,0.034986,0
73,1,10,100,0.038349,0
74,1,10,100,0.037567,0
75,1,10,100,0.037442,0
76,1,10,100,0.035478,0
77,1,10,100,0.036474,0
78,1,10,100,0.035968,0
79,1,10,100,0.036646,0
80,1,10,100,0.033045,0
81,1,10,100,0.035491,0
82,1,10,100,0.03539,0
83,1,10,100,0.035913,0
84,1,10,100,0.033374,0
85,1,10,100,0.034706,0
86,1,10,100,0.04221,1
87,1,10,100,0.036404,0
88,1,10,100,0.038395,0
89,1,10,100,0.037064,0
90,1,10,100,0.035886,0
91,1,10,100,0.036973,0
92,1,10,100,0.036932,0
93,1,10,100,0.035885,0
94,1,10,100,0.037386,0
95,1,10,100,0.03652,0
96,1,10,100,0.037257,0
97,1,10,100,0.036357,0
98,1,10,100,0.03587,0
99,1,10,100,0.037285,0
100,1,10,100,0.037622,0
