run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,100,0.03641713,0.036389,0.0391501,0.033302,0.040556,48,27459.6049
2,1,10,100,0.03687434,0.0370615,0.03948405,0.032609,0.04155,71,27119.1295
3,1,10,100,0.03720175,0.0370465,0.04058205,0.033186,0.042715,10,26880.4559
4,1,10,100,0.03713876,0.0372565,0.03889775,0.033045,0.04221,86,26926.0471
5,1,10,100,0.03717586,0.0371235,0.03962385,0.034037,0.042109,3,26899.176
