iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,100,0.037907,0
2,1,10,100,0.038387,0
3,1,10,100,0.035237,0
4,1,10,100,0.035389,0
5,1,10,100,0.034917,0
6,1,10,100,0.038279,0
7,1,10,100,0.036374,0
8,1,10,100,0.038176,0
9,1,10,100,0.036511,0
10,1,10,100,0.037271,0
11,1,10,100,0.038016,0
12,1,10,100,0.035929,0
13,1,10,100,0.036575,0
14,1,10,100,0.037911,0
15,1,10,100,0.040434,0
16,1,10,100,0.039854,0
17,1,10,100,0.039789,0
18,1,10,100,0.037756,0
19,1,10,100,0.037999,0
20,1,10,100,0.037658,0
21,1,10,100,0.036823,0
22,1,10,100,0.036838,0
23,1,10,100,0.037274,0
24,1,10,100,0.035339,0
25,1,10,100,0.037024,0
26,1,10,100,0.034287,0
27,1,10,100,0.038361,0
28,1,10,100,0.037312,0
29,1,10,100,0.034783,0
30,1,10,100,0.037594,0
31,1,10,100,0.036039,0
32,1,10,100,0.036141,0
33,1,10,100,0.037623,0
34,1,10,100,0.037271,0
35,1,10,100,0.03708,0
36,1,10,100,0.034773,0
37,1,10,100,0.035039,0
38,1,10,100,0.034836,0
39,1,10,100,0.035402,0
40,1,10,100,0.032943,0
41,1,10,100,0.038642,0
42,1,10,100,0.039143,0
43,1,10,100,0.038086,0
44,1,10,100,0.03375,0
45,1,10,100,0.035393,0
46,1,10,100,0.038585,0
47,1,10,100,0.03712,0
48,1,10,100,0.037736,0
49,1,10,100,0.037367,0
50,1,10,100,0.034361,0
51,1,10,100,0.038321,0
52,1,10,100,0.036594,0
53,1,10,100,0.036673,0
54,1,10,100,0.035087,0
55,1,10,100,0.038124,0
56,1,10,100,0.0357,0
57,1,10,100,0.035601,0
58,1,10,100,0.036904,0
59,1,10,100,0.037276,0
60,1,10,100,0.037504,0
61,1,10,100,0.036093,0
62,1,10,100,0.036579,0
63,1,10,100,0.035809,0
64,1,10,100,0.035438,0
65,1,10,100,0.037499,0
66,1,10,100,0.036052,0
67,1,10,100,0.037281,0
68,1,10,100,0.038629,0
69,1,10,100,0.036688,0
70,1,10,100,0.036949,0
71,1,10,100,0.04155,1
72,1,10,100,0.039429,0
73,1,10,100,0.03879,0
74,1,10,100,0.037886,0
75,1,10,100,0.037985,0
76,1,10,100,0.033493,0
77,1,10,100,0.032609,0
78,1,10,100,0.035659,0
79,1,10,100,0.037043,0
80,1,10,100,0.034486,0
81,1,10,100,0.034926,0
82,1,10,100,0.035919,0
83,1,10,100,0.03874,0
84,1,10,100,0.037418,0
85,1,10,100,0.036446,0
86,1,10,100,0.034095,0
87,1,10,100,0.038164,0
88,1,10,100,0.034794,0
89,1,10,100,0.037874,0
90,1,10,100,0.03634,0
91,1,10,100,0.038254,0
92,1,10,100,0.037085,0
93,1,10,100,0.03642,0
94,1,10,100,0.035708,0
95,1,10,100,0.039468,0
96,1,10,100,0.040541,0
97,1,10,100,0.03766,0
98,1,10,100,0.03727,0
99,1,10,100,0.037549,0
100,1,10,100,0.035698,0
