iteration,batch_size,warmup_iterations,measured_iterations,preprocess_ms,inference_ms,postprocess_ms,end_to_end_ms,stage_sum_ms
1,1,10,100,0.046469,0.033891,0.001543,0.081903,0.081903
2,1,10,100,0.043584,0.032893,0.001517,0.077994,0.077994
3,1,10,100,0.0432,0.032112,0.001487,0.076799,0.076799
4,1,10,100,0.047606,0.030773,0.001515,0.079894,0.079894
5,1,10,100,0.043471,0.029854,0.00145,0.074775,0.074775
6,1,10,100,0.043149,0.031721,0.001478,0.076348,0.076348
7,1,10,100,0.04921,0.034201,0.001489,0.0849,0.0849
8,1,10,100,0.043866,0.033482,0.001513,0.078861,0.078861
9,1,10,100,0.043363,0.03008,0.001447,0.07489,0.07489
10,1,10,100,0.043409,0.029926,0.001461,0.074796,0.074796
11,1,10,100,0.047922,0.032565,0.001492,0.081979,0.081979
12,1,10,100,0.046922,0.032425,0.001484,0.080831,0.080831
13,1,10,100,0.045577,0.029682,0.001469,0.076728,0.076728
14,1,10,100,0.049919,0.034296,0.001499,0.085714,0.085714
15,1,10,100,0.047945,0.033768,0.001471,0.083184,0.083184
16,1,10,100,0.043457,0.031518,0.001492,0.076467,0.076467
17,1,10,100,0.046983,0.036099,0.001516,0.084598,0.084598
18,1,10,100,0.043042,0.031203,0.00158,0.075825,0.075825
19,1,10,100,0.047722,0.033566,0.001533,0.082821,0.082821
20,1,10,100,0.043902,0.032622,0.001467,0.077991,0.077991
21,1,10,100,0.049186,0.034084,0.001488,0.084758,0.084758
22,1,10,100,0.043364,0.031581,0.001468,0.076413,0.076413
23,1,10,100,0.043361,0.030891,0.00154,0.075792,0.075792
24,1,10,100,0.043299,0.034605,0.001507,0.079411,0.079411
25,1,10,100,0.046828,0.031934,0.001554,0.080316,0.080316
26,1,10,100,0.04548,0.033161,0.001525,0.080166,0.080166
27,1,10,100,0.04333,0.031322,0.001435,0.076087,0.076087
28,1,10,100,0.043208,0.032645,0.001489,0.077342,0.077342
29,1,10,100,0.047474,0.03348,0.001469,0.082423,0.082423
30,1,10,100,0.043119,0.030649,0.001462,0.07523,0.07523
31,1,10,100,0.046858,0.033864,0.001479,0.082201,0.082201
32,1,10,100,0.047518,0.031985,0.001516,0.081019,0.081019
33,1,10,100,0.043286,0.033744,0.001495,0.078525,0.078525
34,1,10,100,0.043364,0.031942,0.001448,0.076754,0.076754
35,1,10,100,0.042871,0.033151,0.001465,0.077487,0.077487
36,1,10,100,0.043077,0.031591,0.001429,0.076097,0.076097
37,1,10,100,0.047644,0.03224,0.001476,0.08136,0.08136
38,1,10,100,0.043179,0.034217,0.001466,0.078862,0.078862
39,1,10,100,0.042872,0.033355,0.001498,0.077725,0.077725
40,1,10,100,0.042876,0.032381,0.001451,0.076708,0.076708
41,1,10,100,0.04293,0.03253,0.001481,0.076941,0.076941
42,1,10,100,0.046352,0.034015,0.001528,0.081895,0.081895
43,1,10,100,0.043852,0.03245,0.00148,0.077782,0.077782
44,1,10,100,0.048249,0.037112,0.001499,0.08686,0.08686
45,1,10,100,0.043723,0.033811,0.001877,0.079411,0.079411
46,1,10,100,0.046132,0.033809,0.001517,0.081458,0.081458
47,1,10,100,0.043542,0.03032,0.00149,0.075352,0.075352
48,1,10,100,0.047401,0.031654,0.001495,0.08055,0.08055
49,1,10,100,0.046852,0.032905,0.001546,0.081303,0.081303
50,1,10,100,0.043293,0.033228,0.001507,0.078028,0.078028
51,1,10,100,0.042955,0.033567,0.00146,0.077982,0.077982
52,1,10,100,0.047732,0.032429,0.001478,0.081639,0.081639
53,1,10,100,0.04309,0.034509,0.001455,0.079054,0.079054
54,1,10,100,0.04896,0.029466,0.001547,0.079973,0.079973
55,1,10,100,0.042576,0.030937,0.00146,0.074973,0.074973
56,1,10,100,0.042643,0.030082,0.001466,0.074191,0.074191
57,1,10,100,0.052112,0.03392,0.001537,0.087569,0.087569
58,1,10,100,0.043973,0.031262,0.001518,0.076753,0.076753
59,1,10,100,0.043265,0.031106,0.001496,0.075867,0.075867
60,1,10,100,0.042865,0.032426,0.001526,0.076817,0.076817
61,1,10,100,0.043097,0.029856,0.001526,0.074479,0.074479
62,1,10,100,0.043245,0.03423,0.001496,0.078971,0.078971
63,1,10,100,0.042729,0.031322,0.00148,0.075531,0.075531
64,1,10,100,0.043002,0.031684,0.001507,0.076193,0.076193
65,1,10,100,0.042555,0.031481,0.001468,0.075504,0.075504
66,1,10,100,0.042405,0.031973,0.001496,0.075874,0.075874
67,1,10,100,0.042827,0.035004,0.001477,0.079308,0.079308
68,1,10,100,0.048221,0.033082,0.001447,0.08275,0.08275
69,1,10,100,0.042443,0.03034,0.00154,0.074323,0.074323
70,1,10,100,0.045846,0.031519,0.001471,0.078836,0.078836
71,1,10,100,0.042905,0.032179,0.001532,0.076616,0.076616
72,1,10,100,0.042857,0.030933,0.001436,0.075226,0.075226
73,1,10,100,0.047401,0.03129,0.001464,0.080155,0.080155
74,1,10,100,0.043153,0.032641,0.001476,0.07727,0.07727
75,1,10,100,0.042609,0.035554,0.001531,0.079694,0.079694
76,1,10,100,0.042597,0.030708,0.001558,0.074863,0.074863
77,1,10,100,0.04264,0.034239,0.001551,0.07843,0.07843
78,1,10,100,0.043035,0.031208,0.001478,0.075721,0.075721
79,1,10,100,0.043029,0.033498,0.001506,0.078033,0.078033
80,1,10,100,0.042915,0.030244,0.001477,0.074636,0.074636
81,1,10,100,0.042979,0.031655,0.001488,0.076122,0.076122
82,1,10,100,0.04278,0.036243,0.001453,0.080476,0.080476
83,1,10,100,0.046541,0.033406,0.001524,0.081471,0.081471
84,1,10,100,0.043299,0.031039,0.001469,0.075807,0.075807
85,1,10,100,0.042632,0.033806,0.001439,0.077877,0.077877
86,1,10,100,0.042553,0.032593,0.001516,0.076662,0.076662
87,1,10,100,0.042848,0.032708,0.00146,0.077016,0.077016
88,1,10,100,0.042945,0.029882,0.001541,0.074368,0.074368
89,1,10,100,0.04683,0.030992,0.00143,0.079252,0.079252
90,1,10,100,0.043749,0.032054,0.001507,0.07731,0.07731
91,1,10,100,0.042894,0.032094,0.001662,0.07665,0.07665
92,1,10,100,0.047397,0.032847,0.001597,0.081841,0.081841
93,1,10,100,0.052279,0.036616,0.001583,0.090478,0.090478
94,1,10,100,0.042563,0.031726,0.001448,0.075737,0.075737
95,1,10,100,0.047266,0.034306,0.001517,0.083089,0.083089
96,1,10,100,0.043208,0.031469,0.001489,0.076166,0.076166
97,1,10,100,0.042552,0.034172,0.001515,0.078239,0.078239
98,1,10,100,0.043116,0.031099,0.001547,0.075762,0.075762
99,1,10,100,0.047158,0.031697,0.001474,0.080329,0.080329
100,1,10,100,0.049146,0.031327,0.001517,0.08199,0.08199
