iteration,batch_size,warmup_iterations,measured_iterations,preprocess_ms,inference_ms,postprocess_ms,end_to_end_ms,stage_sum_ms
1,1,10,100,0.061995,0.03709,0.005169,0.104254,0.104254
2,1,10,100,0.060416,0.038042,0.001844,0.100302,0.100302
3,1,10,100,0.05974,0.03547,0.001752,0.096962,0.096962
4,1,10,100,0.059938,0.035269,0.001857,0.097064,0.097064
5,1,10,100,0.059602,0.041203,0.001875,0.10268,0.10268
6,1,10,100,0.059597,0.036376,0.001732,0.097705,0.097705
7,1,10,100,0.05969,0.035867,0.001817,0.097374,0.097374
8,1,10,100,0.059583,0.035592,0.001708,0.096883,0.096883
9,1,10,100,0.060552,0.037908,0.001831,0.100291,0.100291
10,1,10,100,0.06506,0.038274,0.001738,0.105072,0.105072
11,1,10,100,0.060446,0.041411,0.001902,0.103759,0.103759
12,1,10,100,0.060356,0.035173,0.001915,0.097444,0.097444
13,1,10,100,0.058675,0.035522,0.001798,0.095995,0.095995
14,1,10,100,0.058796,0.034519,0.001694,0.095009,0.095009
15,1,10,100,0.058987,0.039032,0.001811,0.09983,0.09983
16,1,10,100,0.058668,0.042596,0.001736,0.103,0.103
17,1,10,100,0.058904,0.035711,0.001755,0.09637,0.09637
18,1,10,100,0.059304,0.036844,0.001756,0.097904,0.097904
19,1,10,100,0.061524,0.039063,0.001738,0.102325,0.102325
20,1,10,100,0.059445,0.037956,0.00177,0.099171,0.099171
21,1,10,100,0.070133,0.043601,0.002003,0.115737,0.115737
22,1,10,100,0.06712,0.03901,0.002024,0.108154,0.108154
23,1,10,100,0.067052,0.040726,0.002044,0.109822,0.109822
24,1,10,100,0.068258,0.039035,0.00193,0.109223,0.109223
25,1,10,100,0.067483,0.040006,0.002032,0.109521,0.109521
26,1,10,100,0.067303,0.04048,0.00202,0.109803,0.109803
27,1,10,100,0.067031,0.044014,0.002032,0.113077,0.113077
28,1,10,100,0.067241,0.045627,0.002033,0.114901,0.114901
29,1,10,100,0.068803,0.04409,0.001975,0.114868,0.114868
30,1,10,100,0.069241,0.046416,0.002026,0.117683,0.117683
31,1,10,100,0.069249,0.041634,0.002061,0.112944,0.112944
32,1,10,100,0.069047,0.039951,0.002115,0.111113,0.111113
33,1,10,100,0.068675,0.040686,0.002033,0.111394,0.111394
34,1,10,100,0.068967,0.04422,0.002139,0.115326,0.115326
35,1,10,100,0.069258,0.042008,0.002109,0.113375,0.113375
36,1,10,100,0.071956,0.040275,0.002111,0.114342,0.114342
37,1,10,100,0.067615,0.038694,0.001976,0.108285,0.108285
38,1,10,100,0.067209,0.04055,0.002078,0.109837,0.109837
39,1,10,100,0.069004,0.046376,0.00196,0.11734,0.11734
40,1,10,100,0.067736,0.037212,0.001937,0.106885,0.106885
41,1,10,100,0.066112,0.037502,0.002047,0.105661,0.105661
42,1,10,100,0.065768,0.038318,0.001951,0.106037,0.106037
43,1,10,100,0.068357,0.043111,0.001899,0.113367,0.113367
44,1,10,100,0.067711,0.040772,0.001916,0.110399,0.110399
45,1,10,100,0.066348,0.0405,0.001967,0.108815,0.108815
46,1,10,100,0.067671,0.04115,0.001891,0.110712,0.110712
47,1,10,100,0.073374,0.039161,0.001813,0.114348,0.114348
48,1,10,100,0.067062,0.043931,0.001841,0.112834,0.112834
49,1,10,100,0.063684,0.041275,0.001897,0.106856,0.106856
50,1,10,100,0.063932,0.040468,0.001927,0.106327,0.106327
51,1,10,100,0.06363,0.04014,0.001847,0.105617,0.105617
52,1,10,100,0.069763,0.042608,0.002017,0.114388,0.114388
53,1,10,100,0.069223,0.041341,0.001857,0.112421,0.112421
54,1,10,100,0.063531,0.041901,0.00191,0.107342,0.107342
55,1,10,100,0.06474,0.043264,0.001983,0.109987,0.109987
56,1,10,100,0.066704,0.041203,0.002039,0.109946,0.109946
57,1,10,100,0.066736,0.04702,0.00206,0.115816,0.115816
58,1,10,100,0.067798,0.039661,0.002081,0.10954,0.10954
59,1,10,100,0.067102,0.041939,0.001973,0.111014,0.111014
60,1,10,100,0.071164,0.040791,0.002017,0.113972,0.113972
61,1,10,100,0.06706,0.041982,0.002146,0.111188,0.111188
62,1,10,100,0.066742,0.041706,0.002108,0.110556,0.110556
63,1,10,100,0.067125,0.041771,0.001979,0.110875,0.110875
64,1,10,100,0.067254,0.042023,0.002016,0.111293,0.111293
65,1,10,100,0.066913,0.041657,0.00212,0.11069,0.11069
66,1,10,100,0.066421,0.045754,0.002058,0.114233,0.114233
67,1,10,100,0.067147,0.039811,0.001972,0.10893,0.10893
68,1,10,100,0.067118,0.041304,0.002001,0.110423,0.110423
