run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,500,0.028337186,0.027713,0.0313978,0.024323,0.14268,159,35289.3191
2,1,10,500,0.024335738,0.0243775,0.0257897,0.021715,0.029077,410,41091.8296
3,1,10,500,0.024183944,0.024114,0.0258772,0.021998,0.030575,279,41349.7484
4,1,10,500,0.026167148,0.026075,0.02788025,0.023647,0.04145,21,38215.8575
5,1,10,500,0.025603796,0.0255145,0.02737095,0.023104,0.050895,391,39056.7086
