iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.037202,0
2,1,10,500,0.036296,0
3,1,10,500,0.035067,0
4,1,10,500,0.034237,0
5,1,10,500,0.040284,0
6,1,10,500,0.036186,0
7,1,10,500,0.036169,0
8,1,10,500,0.035394,0
9,1,10,500,0.036143,0
10,1,10,500,0.035191,0
11,1,10,500,0.034598,0
12,1,10,500,0.035898,0
13,1,10,500,0.036105,0
14,1,10,500,0.033966,0
15,1,10,500,0.036796,0
16,1,10,500,0.035572,0
17,1,10,500,0.063652,1
18,1,10,500,0.036729,0
19,1,10,500,0.034127,0
20,1,10,500,0.035307,0
21,1,10,500,0.034978,0
22,1,10,500,0.034386,0
23,1,10,500,0.037211,0
24,1,10,500,0.034549,0
25,1,10,500,0.036189,0
26,1,10,500,0.038145,0
27,1,10,500,0.036161,0
28,1,10,500,0.036683,0
29,1,10,500,0.034741,0
30,1,10,500,0.036979,0
31,1,10,500,0.035458,0
32,1,10,500,0.039144,0
33,1,10,500,0.035732,0
34,1,10,500,0.033216,0
35,1,10,500,0.035496,0
36,1,10,500,0.035925,0
37,1,10,500,0.034855,0
38,1,10,500,0.035536,0
39,1,10,500,0.035125,0
40,1,10,500,0.033457,0
41,1,10,500,0.034935,0
42,1,10,500,0.033342,0
43,1,10,500,0.035493,0
44,1,10,500,0.032324,0
45,1,10,500,0.034301,0
46,1,10,500,0.036184,0
47,1,10,500,0.035377,0
48,1,10,500,0.034221,0
49,1,10,500,0.036104,0
50,1,10,500,0.033717,0
51,1,10,500,0.036506,0
52,1,10,500,0.03355,0
53,1,10,500,0.034493,0
54,1,10,500,0.035132,0
55,1,10,500,0.035732,0
56,1,10,500,0.033568,0
57,1,10,500,0.031942,0
58,1,10,500,0.033992,0
59,1,10,500,0.036948,0
60,1,10,500,0.052723,0
61,1,10,500,0.03281,0
62,1,10,500,0.031918,0
63,1,10,500,0.033291,0
64,1,10,500,0.034627,0
65,1,10,500,0.038668,0
66,1,10,500,0.034502,0
67,1,10,500,0.03268,0
68,1,10,500,0.030577,0
69,1,10,500,0.029994,0
70,1,10,500,0.030646,0
71,1,10,500,0.030762,0
72,1,10,500,0.030292,0
73,1,10,500,0.03132,0
74,1,10,500,0.029344,0
75,1,10,500,0.034021,0
76,1,10,500,0.031136,0
77,1,10,500,0.030029,0
78,1,10,500,0.030889,0
79,1,10,500,0.029899,0
80,1,10,500,0.030638,0
81,1,10,500,0.031134,0
82,1,10,500,0.030506,0
83,1,10,500,0.030224,0
84,1,10,500,0.029345,0
85,1,10,500,0.032294,0
86,1,10,500,0.03029,0
87,1,10,500,0.030265,0
88,1,10,500,0.03151,0
89,1,10,500,0.031095,0
90,1,10,500,0.030226,0
91,1,10,500,0.031656,0
92,1,10,500,0.031083,0
93,1,10,500,0.03185,0
94,1,10,500,0.031455,0
95,1,10,500,0.030862,0
96,1,10,500,0.030967,0
97,1,10,500,0.02912,0
98,1,10,500,0.03154,0
99,1,10,500,0.032403,0
100,1,10,500,0.030174,0
101,1,10,500,0.03116,0
102,1,10,500,0.030338,0
103,1,10,500,0.028966,0
104,1,10,500,0.02989,0
105,1,10,500,0.031382,0
106,1,10,500,0.029937,0
107,1,10,500,0.030905,0
108,1,10,500,0.029588,0
109,1,10,500,0.030986,0
110,1,10,500,0.029955,0
111,1,10,500,0.029853,0
112,1,10,500,0.031558,0
113,1,10,500,0.031304,0
114,1,10,500,0.031653,0
115,1,10,500,0.031613,0
116,1,10,500,0.030272,0
117,1,10,500,0.03147,0
118,1,10,500,0.031337,0
119,1,10,500,0.029672,0
120,1,10,500,0.028911,0
121,1,10,500,0.030145,0
122,1,10,500,0.028776,0
123,1,10,500,0.030683,0
124,1,10,500,0.034167,0
125,1,10,500,0.03019,0
126,1,10,500,0.029708,0
127,1,10,500,0.031948,0
128,1,10,500,0.032587,0
129,1,10,500,0.029329,0
130,1,10,500,0.030693,0
