learning_rate,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
0.01,1,1.199321240978241,0.63386,0.8126750156402588,0.7091
0.01,2,0.7108617793083191,0.75578,0.660254335308075,0.7734
0.01,3,0.6070279726600647,0.7966,0.58879742436409,0.8003
0.01,4,0.552588900756836,0.81358,0.5584420426368714,0.8136
0.01,5,0.5192962627315522,0.82296,0.5250706421375275,0.8212
0.1,1,0.6570121704006195,0.77038,0.6281172672748566,0.7768
0.1,2,0.45654015850067137,0.83774,0.4800177975654602,0.8299
0.1,3,0.4096331838607788,0.8527,0.4634086887836456,0.8308
0.1,4,0.3820362663269043,0.8626,0.5505896483421325,0.8163
0.1,5,0.3614110776948929,0.8691,0.4045682182788849,0.8556
