run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,1000,2000,0.035825238,0.035117,0.04132105,0.028019,0.183744,1581,27913.2828
2,1,1000,2000,0.0351573405,0.0349755,0.0379811,0.031674,0.116288,385,28443.5622
3,1,1000,2000,0.036960348,0.0361845,0.0411257,0.033567,0.129121,1277,27056.0223
4,1,1000,2000,0.036151997,0.0354175,0.04155135,0.03125,0.067213,335,27660.9892
5,1,1000,2000,0.0369599355,0.0367235,0.0398302,0.034226,0.049665,901,27056.3243
