epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,1.4503066410594516,0.4871333333333333,1.2446417905807494,0.5512,0.001,6.355141947999073
2,1.1623326166470846,0.5933333333333334,1.122413779735565,0.6036,0.001,7.699530799000058
3,1.0423900314119128,0.6361333333333333,1.041410324573517,0.6408,0.001,7.683853307999016
4,0.9665169801923964,0.6648666666666667,1.0295979152679444,0.6422,0.001,6.319920072999594
5,0.9118815129386054,0.6840444444444445,0.9853412435531617,0.6564,0.001,6.864740009999878
6,0.8681976123385959,0.6991777777777778,0.944890068244934,0.671,0.001,6.875469381000585
7,0.8324919344372219,0.7121333333333333,0.9383334347724914,0.682,0.001,6.806466830999852
8,0.8038080943319532,0.7198888888888889,0.9269844035148621,0.684,0.001,8.523760476000461
9,0.7781043860117595,0.7297777777777777,0.9472810461044312,0.6784,0.001,8.877602218999527
10,0.7519680192523532,0.7400222222222222,0.9305187925338745,0.682,0.001,7.2840054990010685
11,0.7358250942442153,0.7447333333333334,0.9638314540863037,0.6726,0.001,11.441573308000443
12,0.7189484708838992,0.7509777777777777,0.9317620992660522,0.6808,0.001,6.958088133998899
13,0.6987067213376363,0.7579333333333333,0.9768282789230347,0.6752,0.001,7.238581487999909
14,0.6836283484776815,0.7624666666666666,0.9424534208297729,0.6822,0.001,7.229323849000139
15,0.6694045832528008,0.7684,0.9597864728927612,0.6776,0.001,6.737255700998503
16,0.6566396432028876,0.7708666666666667,0.9516825994491577,0.6828,0.001,9.032690209000066
17,0.6449807704395718,0.7735555555555556,0.9513199789047241,0.6816,0.001,9.716224030000376
18,0.6318714183807373,0.7788,0.9851918433189392,0.679,0.001,7.555510965999929
19,0.6227326633559332,0.7835111111111112,0.9749300842285156,0.6836,0.001,7.304439536001155
20,0.6152932231691148,0.7855111111111112,0.9962474287986756,0.6796,0.001,11.014893699000822
