iteration,batch_size,warmup_iterations,measured_iterations,latency_ms,is_max
1,1,10,500,0.037348,0
2,1,10,500,0.033689,0
3,1,10,500,0.033672,0
4,1,10,500,0.033446,0
5,1,10,500,0.033626,0
6,1,10,500,0.03362,0
7,1,10,500,0.033483,0
8,1,10,500,0.033562,0
9,1,10,500,0.033608,0
10,1,10,500,0.033707,0
11,1,10,500,0.033553,0
12,1,10,500,0.033561,0
13,1,10,500,0.033598,0
14,1,10,500,0.033298,0
15,1,10,500,0.033825,0
16,1,10,500,0.033458,0
17,1,10,500,0.03357,0
18,1,10,500,0.033492,0
19,1,10,500,0.036489,0
20,1,10,500,0.033735,0
21,1,10,500,0.033525,0
22,1,10,500,0.033449,0
23,1,10,500,0.033561,0
24,1,10,500,0.033414,0
25,1,10,500,0.033292,0
26,1,10,500,0.033728,0
27,1,10,500,0.033552,0
28,1,10,500,0.033463,0
29,1,10,500,0.033359,0
30,1,10,500,0.033408,0
31,1,10,500,0.033458,0
32,1,10,500,0.03371,0
33,1,10,500,0.033429,0
34,1,10,500,0.033538,0
35,1,10,500,0.033271,0
36,1,10,500,0.033447,0
37,1,10,500,0.033475,0
38,1,10,500,0.033538,0
39,1,10,500,0.033471,0
40,1,10,500,0.033497,0
41,1,10,500,0.033588,0
42,1,10,500,0.033691,0
43,1,10,500,0.033679,0
44,1,10,500,0.033726,0
45,1,10,500,0.033623,0
46,1,10,500,0.033494,0
47,1,10,500,0.033564,0
48,1,10,500,0.036032,0
49,1,10,500,0.033313,0
50,1,10,500,0.033781,0
51,1,10,500,0.033358,0
52,1,10,500,0.033463,0
53,1,10,500,0.033741,0
54,1,10,500,0.033469,0
55,1,10,500,0.03339,0
56,1,10,500,0.033622,0
57,1,10,500,0.033555,0
58,1,10,500,0.033533,0
59,1,10,500,0.033312,0
60,1,10,500,0.033342,0
61,1,10,500,0.033492,0
62,1,10,500,0.033616,0
63,1,10,500,0.033604,0
64,1,10,500,0.033591,0
65,1,10,500,0.033578,0
66,1,10,500,0.033584,0
67,1,10,500,0.033533,0
68,1,10,500,0.033301,0
69,1,10,500,0.033428,0
70,1,10,500,0.033497,0
71,1,10,500,0.033452,0
72,1,10,500,0.033447,0
73,1,10,500,0.033427,0
74,1,10,500,0.035643,0
75,1,10,500,0.034822,0
76,1,10,500,0.033588,0
77,1,10,500,0.033587,0
78,1,10,500,0.035267,0
79,1,10,500,0.033594,0
80,1,10,500,0.033488,0
81,1,10,500,0.033681,0
82,1,10,500,0.033572,0
83,1,10,500,0.033626,0
84,1,10,500,0.033575,0
85,1,10,500,0.033662,0
86,1,10,500,0.033424,0
87,1,10,500,0.033558,0
88,1,10,500,0.033597,0
89,1,10,500,0.033357,0
90,1,10,500,0.033782,0
91,1,10,500,0.033389,0
92,1,10,500,0.033727,0
93,1,10,500,0.033338,0
94,1,10,500,0.033532,0
95,1,10,500,0.033498,0
96,1,10,500,0.033477,0
97,1,10,500,0.033382,0
98,1,10,500,0.033515,0
99,1,10,500,0.033492,0
100,1,10,500,0.033517,0
101,1,10,500,0.033697,0
102,1,10,500,0.03432,0
103,1,10,500,0.033605,0
104,1,10,500,0.033574,0
105,1,10,500,0.033454,0
106,1,10,500,0.033313,0
107,1,10,500,0.037025,0
108,1,10,500,0.033591,0
109,1,10,500,0.033468,0
110,1,10,500,0.033377,0
111,1,10,500,0.033547,0
112,1,10,500,0.033413,0
113,1,10,500,0.033462,0
114,1,10,500,0.033528,0
115,1,10,500,0.033603,0
116,1,10,500,0.033681,0
117,1,10,500,0.033764,0
118,1,10,500,0.033652,0
119,1,10,500,0.033563,0
120,1,10,500,0.033498,0
121,1,10,500,0.033451,0
122,1,10,500,0.033454,0
123,1,10,500,0.033649,0
124,1,10,500,0.033494,0
125,1,10,500,0.033453,0
126,1,10,500,0.033417,0
127,1,10,500,0.033541,0
128,1,10,500,0.033311,0
129,1,10,500,0.033543,0
130,1,10,500,0.033319,0
131,1,10,500,0.033455,0
132,1,10,500,0.033515,0
133,1,10,500,0.033453,0
134,1,10,500,0.033493,0
135,1,10,500,0.033351,0
136,1,10,500,0.033214,0
137,1,10,500,0.035763,0
138,1,10,500,0.033506,0
139,1,10,500,0.033593,0
140,1,10,500,0.033434,0
141,1,10,500,0.033506,0
142,1,10,500,0.033439,0
143,1,10,500,0.033426,0
144,1,10,500,0.033428,0
145,1,10,500,0.033382,0
146,1,10,500,0.033424,0
147,1,10,500,0.033624,0
148,1,10,500,0.033579,0
149,1,10,500,0.03356,0
150,1,10,500,0.0335,0
151,1,10,500,0.033457,0
152,1,10,500,0.033528,0
153,1,10,500,0.033583,0
154,1,10,500,0.033551,0
155,1,10,500,0.033411,0
156,1,10,500,0.033397,0
157,1,10,500,0.033508,0
158,1,10,500,0.033642,0
159,1,10,500,0.033499,0
160,1,10,500,0.033429,0
161,1,10,500,0.033585,0
162,1,10,500,0.033429,0
163,1,10,500,0.033244,0
164,1,10,500,0.033337,0
165,1,10,500,0.033342,0
166,1,10,500,0.033477,0
167,1,10,500,0.035073,0
168,1,10,500,0.033632,0
169,1,10,500,0.033517,0
170,1,10,500,0.033567,0
171,1,10,500,0.033227,0
172,1,10,500,0.03364,0
173,1,10,500,0.033709,0
174,1,10,500,0.03343,0
175,1,10,500,0.033441,0
176,1,10,500,0.033522,0
177,1,10,500,0.033606,0
178,1,10,500,0.033719,0
179,1,10,500,0.035823,0
180,1,10,500,0.035819,0
181,1,10,500,0.036143,0
182,1,10,500,0.03583,0
183,1,10,500,0.034472,0
184,1,10,500,0.033478,0
185,1,10,500,0.033501,0
186,1,10,500,0.036449,0
187,1,10,500,0.034399,0
188,1,10,500,0.035842,0
189,1,10,500,0.035834,0
190,1,10,500,0.036153,0
191,1,10,500,0.035664,0
192,1,10,500,0.03577,0
