run,batch_size,warmup_iterations,measured_iterations,mean_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,max_latency_iteration,throughput_images_per_second
1,1,10,500,0.033345962,0.033429,0.035887,0.031719,0.038169,196,29988.6385
2,1,10,500,0.03581488,0.0352275,0.04201425,0.033262,0.046949,399,27921.3556
3,1,10,500,0.036927628,0.0370485,0.0398632,0.033985,0.043308,49,27079.9955
4,1,10,500,0.034333634,0.0342055,0.03613065,0.033223,0.052666,8,29125.9585
5,1,10,500,0.035595448,0.03511,0.03807335,0.033986,0.12813,293,28093.4798
